,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
309,458,finding nemo,0,15,13,23
310,459,fast &amp; furious presents: hobbs &amp; shaw,2,15,18,56
311,460,charlie and the chocolate factory,8,5,3,70
312,461,the hunger games: catching fire,2,15,17,2
313,462,coco,0,15,13,23
314,475,vengeance,4,7,18,33
315,476,hustle,4,4,6,55
316,482,emma.,4,4,16,27
317,483,the wolf of wall street,5,5,2,60
318,485,jug jugg jeeyo,4,4,3,41
319,486,bodies bodies bodies,4,1,18,94
320,488,knives out,4,8,0,31
321,490,don't look up,4,4,17,5
322,494,a league of their own,4,4,6,55
323,495,marcel the shell with shoes on,0,5,3,46
324,497,vicky cristina barcelona,4,4,16,27
325,498,licorice pizza,4,4,16,27
326,501,verdens verste menneske,4,4,16,27
327,502,gisaengchung,4,4,18,5
328,505,coda,4,4,15,97
329,506,the big short,5,5,0,50
330,508,encanto,0,5,3,46
331,509,jaadugar,4,4,1,10
332,510,jerry &amp; marge go large,5,5,0,50
333,514,fresh,4,1,18,94
334,515,the little rascals,4,10,16,98
335,516,the munsters,4,10,1,0
336,518,father of the bride,4,4,16,27
337,521,the girl next door,4,4,16,27
338,523,the french dispatch,4,4,16,27
339,531,jojo rabbit,4,4,9,63
340,533,weird: the al yankovic story,5,5,15,86
341,534,mr. malcolm's list,4,4,16,27
342,535,mighty aphrodite,4,9,16,52
343,536,la la land,4,4,15,97
344,537,pitch perfect,4,11,16,18
345,538,marry me,4,11,16,18
346,539,the sandlot,4,4,3,41
347,543,hustlers,4,8,0,31
348,545,grease,4,0,16,51
349,551,love actually,4,4,16,27
350,553,10 things i hate about you,4,4,16,27
351,557,hocus pocus 2,4,10,1,0
352,558,sing,0,5,3,46
353,560,"crazy, stupid, love.",4,4,16,27
354,561,white noise,4,4,5,55
355,565,notting hill,4,4,16,27
356,566,he's just not that into you,4,4,16,27
357,567,clue,4,8,8,40
358,568,laal singh chaddha,4,4,16,27
359,571,about time,4,4,1,10
360,572,crazy rich asians,4,4,16,27
361,574,steel magnolias,4,4,16,27
362,575,hocus pocus,4,10,1,0
363,577,swiss army man,4,4,1,10
364,578,secretary,4,4,16,27
365,580,matilda,4,10,1,0
366,583,"three billboards outside ebbing, missouri",4,8,0,31
367,584,green book,5,5,0,50
368,585,la vita è bella,4,4,16,27
369,588,tropic thunder,2,5,9,25
370,590,war dogs,5,5,2,60
371,592,ready or not,2,5,5,91
372,594,good luck jerry,4,8,0,31
373,595,vice,5,5,0,50
374,596,mamma mia!,4,0,16,51
375,598,the world's end,2,5,17,64
376,600,in bruges,4,8,0,31
377,603,palm springs,4,9,8,40
378,606,the terminal,4,4,16,27
379,607,scott pilgrim vs. the world,2,5,1,57
380,608,jumanji,8,5,3,70
381,609,the intouchables,5,5,0,50
382,610,janhit mein jaari,4,4,16,27
383,611,charlie's angels,2,15,13,8
384,612,luca,0,15,13,23
385,613,cocktail,4,4,16,27
386,615,love and monsters,2,15,13,8
387,616,disenchanted,0,15,13,23
388,617,jumanji: the next level,2,15,13,8
389,618,the mask,2,5,2,17
390,619,the heat,2,5,2,17
391,620,hot fuzz,2,5,8,72
392,621,big trouble in little china,2,15,13,8
393,622,frozen,0,15,13,23
394,623,tangled,0,15,13,23
395,624,13 going on 30,4,9,16,52
396,625,incredibles 2,0,2,10,29
397,626,real genius,4,12,17,92
398,627,mamma mia! here we go again,4,0,16,51
399,628,hook,8,5,3,70
400,629,the princess diaries,4,10,16,98
401,630,beverly hills cop,2,5,2,17
402,631,men in black,2,15,13,8
403,632,untitled super mario project,0,15,13,23
404,633,diary of a wimpy kid,4,4,3,41
405,634,shrek,0,15,13,23
406,635,(500) days of summer,4,4,16,27
407,636,roald dahl's matilda the musical,4,4,3,41
408,637,inside out,0,15,13,23
409,638,nope,1,7,17,75
410,641,last night in soho,3,1,8,3
411,642,get out,1,7,18,1
412,643,men,3,9,5,28
413,644,orphan: first kill,6,4,5,7
414,645,us,1,7,18,1
415,646,orphan,1,7,18,1
416,647,midsommar,3,1,8,3
417,649,crimes of the future,3,1,17,37
418,651,umma,3,1,8,3
419,653,american psycho,6,4,5,7
420,654,scream,1,7,18,1
421,655,watcher,3,1,18,58
422,656,old,3,1,8,3
423,659,resurrection,6,4,5,7
424,660,bones and all,3,1,16,37
425,661,interview with the vampire: the vampire chronicles,3,9,5,28
426,665,srpski film,1,7,18,1
427,666,hereditary,3,1,8,3
428,668,the rental,3,1,8,3
429,669,it chapter two,3,9,5,28
430,670,the vvitch: a new-england folktale,3,9,5,28
431,671,eight for silver,7,1,8,39
432,672,jeepers creepers reborn,1,7,18,1
433,675,mad god,0,9,5,59
434,676,the thing,1,7,17,75
435,679,the conjuring,1,7,18,1
